Categoría Actual,Productos,Cantidad Productos,Filtro Nivel (Éxito),Filtro Valor (Éxito),Notas/Estado
Audio,"AirPods 3, AirPods Pro, Audifonos Inalambricos, Audifonos Samsung Buds, Bose QuietComfort, JBL Charge 5, JBL Flip 6, Parlante Bluetooth JBL, Sony WH-1000XM5, Soundbar Samsung",10,category-3,,
Celulares,"Motorola Edge 40, Motorola G84, OPPO Reno 11, Realme 11 Pro, Samsung Galaxy A34, Samsung Galaxy A54, Samsung Galaxy S23, Samsung Galaxy S24, Xiaomi Redmi Note 12, Xiaomi Redmi Note 13, iPhone 14, iPhone 15, iPhone 15 Pro",13,category-3,,
Computadores,"MacBook Air M2, MacBook Pro 14, PC All in One HP, Portátil ASUS VivoBook, Portátil Acer Aspire 5, Portátil Dell Inspiron, Portátil HP 15, Portátil HP Pavilion, Portátil Lenovo IdeaPad, Portátil Lenovo ThinkPad",10,category-3,,
Cámaras,"Canon EOS Rebel T7, Cámara de Seguridad, DJI Mini 3 Pro, GoPro Hero 12, Nikon D3500, Ring Video Doorbell, Sony Alpha A6400",7,category-3,,
Electrodomésticos,"Air Fryer Kalley, Air Fryer Oster, Aspiradora Robot, Lavadora LG, Lavadora Samsung, Lavadora Whirlpool, Licuadora Oster, Microondas Samsung, Nevera LG, Nevera Mabe, Nevera Samsung, Plancha de Vapor",12,category-3,,
Gaming,"Audifonos Gamer, Control PS5, Control Xbox, Monitor Gamer 27, Mouse Gamer, Nintendo Switch, Nintendo Switch OLED, PlayStation 5, PlayStation 5 Digital, Teclado Gamer, Xbox Series S, Xbox Series X",12,category-3,,
Hogar,"Batidora KitchenAid, Cafetera Oster, Colchón Doble, Escritorio para PC, Juego de Comedor, Mesa de Centro, Silla Gamer, Sofá Cama, Ventilador de Pie, Ventilador de Torre",10,category-3,,
Smartwatches,"Amazfit GTS 4, Apple Watch SE, Apple Watch Series 9, Garmin Forerunner, Huawei Watch GT 4, Samsung Galaxy Watch 6, Xiaomi Smart Band 8",7,category-3,,
Tablets,"Lenovo Tab M10, Samsung Galaxy Tab A8, Samsung Galaxy Tab S9, Xiaomi Pad 6, iPad 10, iPad Air, iPad Pro 11",7,category-3,,
Televisores,"Smart TV Kalley 43 pulgadas, Smart TV LG 43 pulgadas, Smart TV LG 50 pulgadas, Smart TV Samsung 43 pulgadas, Smart TV Samsung 55 pulgadas, Smart TV Samsung 65 pulgadas, Smart TV TCL 50 pulgadas, TV LG OLED 55, TV Samsung Crystal UHD 50, TV Samsung QLED 55",10,category-3,,
celulares,iPhone 16,1,category-3,,
electrodomesticos,"Lavadora LG 17Kg, Nevera Samsung 300L",2,category-3,,
